Title,Alternative Title,Description,Language,Publisher,Genre,Subject,Temporal Coverage,Date Range,Solr Year,Date Issued,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
"Land Survey Map: Des Moines County, Iowa; 69N 3W","Iowa land survey map of t069n, r003w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Des Moines County, Iowa|Iowa","-91.25805435, 40.72396221, -91.14168765, 40.81259418",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_167,a7477991-2669-43d9-b0b2-3968ad7e309c,a7477991-2669-43d9-b0b2-3968ad7e309c,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; Lee County, Iowa; 69N 4W","Iowa land survey map of t069n, r004w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Des Moines County Lee County, Iowa|Iowa","-91.37260569, 40.72501917, -91.25684888, 40.81259418",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_204,37c2e51e-d5d9-4ca0-aa5f-71a26a62981e,37c2e51e-d5d9-4ca0-aa5f-71a26a62981e,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 70N 1W","Iowa land survey map of t070n, r001w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Des Moines County, Iowa|Iowa","-91.02658781, 40.88003418, -91.01171581, 40.89871875",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_107,53438ec7-b886-4afe-b362-cca9ee094b3d,53438ec7-b886-4afe-b362-cca9ee094b3d,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 70N 3W","Iowa land survey map of t070n, r003w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Des Moines County, Iowa|Iowa","-91.25684888, 40.8113462, -91.14135497, 40.90001049",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_168,8bfcb12d-ec8e-46c7-8a81-5f1981c189f6,8bfcb12d-ec8e-46c7-8a81-5f1981c189f6,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Henry County, Iowa; 70N 5W","Iowa land survey map of t070n, r005w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Henry County, Iowa|Iowa","-91.48750768, 40.81257309, -91.37153746, 40.90057979",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_241,09c44cf8-8afc-4b2f-8e8c-8cd6e2c05bc1,09c44cf8-8afc-4b2f-8e8c-8cd6e2c05bc1,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 71N 2W","Iowa land survey map of t071n, r002w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Des Moines County, Iowa|Iowa","-91.14140193, 40.89855166, -91.02607996, 40.98599382",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_136,ee123719-b657-4700-aa56-6adf40015ffd,ee123719-b657-4700-aa56-6adf40015ffd,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Des Moines County, Iowa; 71N 3W","Iowa land survey map of t071n, r003w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Des Moines County, Iowa|Iowa","-91.25681955, 40.89862434, -91.1411354, 40.98704032",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_169,9ece8060-6dcd-45f1-8462-3484da1d261e,9ece8060-6dcd-45f1-8462-3484da1d261e,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Henry County, Iowa; 72N 5W","Iowa land survey map of t072n, r005w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1837,[1836 TO 1837],1836,1836,"Henry County, Iowa|Iowa","-91.48683757, 40.98693485, -91.37082274, 41.07522906",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_243,69c1504f-500e-4e6a-94c1-8caac576aa88,69c1504f-500e-4e6a-94c1-8caac576aa88,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Lee County, Iowa; 68N 5W","Iowa land survey map of t068n, r005w","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1838,[1836 TO 1838],1836,1836,"Lee County, Iowa|Iowa","-91.48823959, 40.63831082, -91.37260569, 40.72598211",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_239,f404f539-7984-4202-bce2-3f7570d378be,f404f539-7984-4202-bce2-3f7570d378be,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
"Land Survey Map: Muscatine County, Iowa; 77N 1E","Iowa land survey map of t077n, r001e","Part of a set of digitized microfilm of manuscript maps of Iowa townships. Individual maps in the set may include: Native American villages and fields; the first farmsteads, town sites and fields established by settlers; networks of trails; distribution of rivers, woods, prairies, wetlands and springs; and survey data such as creator, date created, and date accepted.",English,United States Surveyor General,Maps,Planning and Cadastral,1836-1838,[1836 TO 1838],1836,1836,"Muscatine County, Iowa|Iowa","-90.90180959, 41.43040615, -90.78520929, 41.50981294",Image,Image,JPEG,https://digital.lib.uiowa.edu/islandora/object/ui:glo_12,36be9bf0-3c94-442f-ad18-66a360f6b9f3,36be9bf0-3c94-442f-ad18-66a360f6b9f3,Iowa,03d-03,03d-03,Active,Manual,8/31/2020,Public,"Material in the public domain. No restrictions on use. For  more information, contact the University of Iowa Libraries Map Collection: http://www.lib.uiowa.edu/maps/contact.",FALSE,FALSE
